"datetime","groupInServiceCapacity"
"2022-05-16T19:37:00Z",1
"2022-05-16T19:38:00Z",1
"2022-05-16T19:39:00Z",1
"2022-05-16T19:40:00Z",1
"2022-05-16T19:41:00Z",3
"2022-05-16T19:42:00Z",3
"2022-05-16T19:43:00Z",3
"2022-05-16T19:44:00Z",3
"2022-05-16T19:45:00Z",3
"2022-05-16T19:46:00Z",3
"2022-05-16T19:47:00Z",3
"2022-05-16T19:48:00Z",3
"2022-05-16T19:49:00Z",3
"2022-05-16T19:50:00Z",3
"2022-05-16T19:51:00Z",3
"2022-05-16T19:52:00Z",3
"2022-05-16T19:53:00Z",3
"2022-05-16T19:54:00Z",3
"2022-05-16T19:55:00Z",3
"2022-05-16T19:56:00Z",3
"2022-05-16T19:57:00Z",3
"2022-05-16T19:58:00Z",3
"2022-05-16T19:59:00Z",3
"2022-05-16T20:00:00Z",3
"2022-05-16T20:01:00Z",3
"2022-05-16T20:02:00Z",3
"2022-05-16T20:03:00Z",3
"2022-05-16T20:04:00Z",3
"2022-05-16T20:05:00Z",3
"2022-05-16T20:06:00Z",3
"2022-05-16T20:07:00Z",3
"2022-05-16T20:08:00Z",3
"2022-05-16T20:09:00Z",3
"2022-05-16T20:10:00Z",3
"2022-05-16T20:11:00Z",3
"2022-05-16T20:12:00Z",3
"2022-05-16T20:13:00Z",3
"2022-05-16T20:14:00Z",3
"2022-05-16T20:15:00Z",3
"2022-05-16T20:16:00Z",3
"2022-05-16T20:17:00Z",3
"2022-05-16T20:18:00Z",3
"2022-05-16T20:19:00Z",3
"2022-05-16T20:20:00Z",3
"2022-05-16T20:21:00Z",3
"2022-05-16T20:22:00Z",3
"2022-05-16T20:23:00Z",3
"2022-05-16T20:24:00Z",3
"2022-05-16T20:25:00Z",3
"2022-05-16T20:26:00Z",3
"2022-05-16T20:27:00Z",3
"2022-05-16T20:28:00Z",3
"2022-05-16T20:29:00Z",3
"2022-05-16T20:30:00Z",3
"2022-05-16T20:31:00Z",3
"2022-05-16T20:32:00Z",3
"2022-05-16T20:33:00Z",3
"2022-05-16T20:34:00Z",0
"2022-05-16T20:35:00Z",1
"2022-05-16T20:36:00Z",1
"2022-05-16T20:37:00Z",1
"2022-05-16T20:38:00Z",1
"2022-05-16T20:39:00Z",1
"2022-05-16T20:40:00Z",1
"2022-05-16T20:41:00Z",1
"2022-05-16T20:42:00Z",2
"2022-05-16T20:43:00Z",2
"2022-05-16T20:44:00Z",2
"2022-05-16T20:45:00Z",2
"2022-05-16T20:46:00Z",2
"2022-05-16T20:47:00Z",2
"2022-05-16T20:48:00Z",2
"2022-05-16T20:49:00Z",3
"2022-05-16T20:50:00Z",3
"2022-05-16T20:51:00Z",1
"2022-05-16T20:52:00Z",1
"2022-05-16T20:53:00Z",1
"2022-05-16T20:54:00Z",1
"2022-05-16T20:55:00Z",1
"2022-05-16T20:56:00Z",1
"2022-05-16T20:57:00Z",1
"2022-05-16T20:58:00Z",1
"2022-05-16T20:59:00Z",1
"2022-05-16T21:00:00Z",2
"2022-05-16T21:01:00Z",2
"2022-05-16T21:02:00Z",2
"2022-05-16T21:03:00Z",2
"2022-05-16T21:04:00Z",2
"2022-05-16T21:05:00Z",2
"2022-05-16T21:06:00Z",3
"2022-05-16T21:07:00Z",3
"2022-05-16T21:08:00Z",3
"2022-05-16T21:09:00Z",1
"2022-05-16T21:10:00Z",1
"2022-05-16T21:11:00Z",1
"2022-05-16T21:12:00Z",1
"2022-05-16T21:13:00Z",1
"2022-05-16T21:14:00Z",1
"2022-05-16T21:15:00Z",1
"2022-05-16T21:16:00Z",1
"2022-05-16T21:17:00Z",2
"2022-05-16T21:18:00Z",2
"2022-05-16T21:19:00Z",2
"2022-05-16T21:20:00Z",2
"2022-05-16T21:21:00Z",2
"2022-05-16T21:22:00Z",2
"2022-05-16T21:23:00Z",3
"2022-05-16T21:24:00Z",3
"2022-05-16T21:25:00Z",3
"2022-05-16T21:26:00Z",3
"2022-05-16T21:27:00Z",3
"2022-05-16T21:28:00Z",3
"2022-05-16T21:29:00Z",3
