"datetime","groupInServiceCapacity"
"2022-06-03T08:01:00Z",1
"2022-06-03T08:02:00Z",1
"2022-06-03T08:03:00Z",1
"2022-06-03T08:04:00Z",1
"2022-06-03T08:05:00Z",3
"2022-06-03T08:06:00Z",3
"2022-06-03T08:07:00Z",3
"2022-06-03T08:08:00Z",3
"2022-06-03T08:09:00Z",3
"2022-06-03T08:10:00Z",3
"2022-06-03T08:11:00Z",3
"2022-06-03T08:12:00Z",3
"2022-06-03T08:13:00Z",3
"2022-06-03T08:14:00Z",3
"2022-06-03T08:15:00Z",3
"2022-06-03T08:16:00Z",3
"2022-06-03T08:17:00Z",3
"2022-06-03T08:18:00Z",3
"2022-06-03T08:19:00Z",3
"2022-06-03T08:20:00Z",3
"2022-06-03T08:21:00Z",3
"2022-06-03T08:22:00Z",3
"2022-06-03T08:23:00Z",3
"2022-06-03T08:24:00Z",3
"2022-06-03T08:25:00Z",3
"2022-06-03T08:26:00Z",3
"2022-06-03T08:27:00Z",3
"2022-06-03T08:28:00Z",3
"2022-06-03T08:29:00Z",3
"2022-06-03T08:30:00Z",3
"2022-06-03T08:31:00Z",3
"2022-06-03T08:32:00Z",3
"2022-06-03T08:33:00Z",3
"2022-06-03T08:34:00Z",3
"2022-06-03T08:35:00Z",3
"2022-06-03T08:36:00Z",3
"2022-06-03T08:37:00Z",3
"2022-06-03T08:38:00Z",3
"2022-06-03T08:39:00Z",3
"2022-06-03T08:40:00Z",3
"2022-06-03T08:41:00Z",3
"2022-06-03T08:42:00Z",3
"2022-06-03T08:43:00Z",3
"2022-06-03T08:44:00Z",3
"2022-06-03T08:45:00Z",3
"2022-06-03T08:46:00Z",3
"2022-06-03T08:47:00Z",3
"2022-06-03T08:48:00Z",3
"2022-06-03T08:49:00Z",3
"2022-06-03T08:50:00Z",3
"2022-06-03T08:51:00Z",3
"2022-06-03T08:52:00Z",3
"2022-06-03T08:53:00Z",3
"2022-06-03T08:54:00Z",3
"2022-06-03T08:55:00Z",3
"2022-06-03T08:56:00Z",3
"2022-06-03T08:57:00Z",3
"2022-06-03T08:58:00Z",0
"2022-06-03T08:59:00Z",1
"2022-06-03T09:00:00Z",1
"2022-06-03T09:01:00Z",1
"2022-06-03T09:02:00Z",1
"2022-06-03T09:03:00Z",1
"2022-06-03T09:04:00Z",1
"2022-06-03T09:05:00Z",1
"2022-06-03T09:06:00Z",2
"2022-06-03T09:07:00Z",2
"2022-06-03T09:08:00Z",2
"2022-06-03T09:09:00Z",2
"2022-06-03T09:10:00Z",2
"2022-06-03T09:11:00Z",2
"2022-06-03T09:12:00Z",3
"2022-06-03T09:13:00Z",3
"2022-06-03T09:14:00Z",3
"2022-06-03T09:15:00Z",3
"2022-06-03T09:16:00Z",1
"2022-06-03T09:17:00Z",1
"2022-06-03T09:18:00Z",1
"2022-06-03T09:19:00Z",1
"2022-06-03T09:20:00Z",1
"2022-06-03T09:21:00Z",1
"2022-06-03T09:22:00Z",1
"2022-06-03T09:23:00Z",2
"2022-06-03T09:24:00Z",2
"2022-06-03T09:25:00Z",2
"2022-06-03T09:26:00Z",2
"2022-06-03T09:27:00Z",2
"2022-06-03T09:28:00Z",2
"2022-06-03T09:29:00Z",3
"2022-06-03T09:30:00Z",3
"2022-06-03T09:31:00Z",3
"2022-06-03T09:32:00Z",3
"2022-06-03T09:33:00Z",1
"2022-06-03T09:34:00Z",1
"2022-06-03T09:35:00Z",1
"2022-06-03T09:36:00Z",1
"2022-06-03T09:37:00Z",1
"2022-06-03T09:38:00Z",1
"2022-06-03T09:39:00Z",1
"2022-06-03T09:40:00Z",1
"2022-06-03T09:41:00Z",2
"2022-06-03T09:42:00Z",2
"2022-06-03T09:43:00Z",2
"2022-06-03T09:44:00Z",2
"2022-06-03T09:45:00Z",2
"2022-06-03T09:46:00Z",2
"2022-06-03T09:47:00Z",3
"2022-06-03T09:48:00Z",3
"2022-06-03T09:49:00Z",3
"2022-06-03T09:50:00Z",3
"2022-06-03T09:51:00Z",3
"2022-06-03T09:52:00Z",3
"2022-06-03T09:53:00Z",3
