"datetime","estimatedALBActiveConnectionCount"
"2022-05-22T08:38:00Z",3
"2022-05-22T08:39:00Z",15.5
"2022-05-22T08:40:00Z",22.5
"2022-05-22T08:41:00Z",7.5
"2022-05-22T08:42:00Z",23.5
"2022-05-22T08:43:00Z",15.5
"2022-05-22T08:44:00Z",7.5
"2022-05-22T08:45:00Z",24.5
"2022-05-22T08:46:00Z",7.5
"2022-05-22T08:47:00Z",25.5
"2022-05-22T08:48:00Z",25.5
"2022-05-22T08:49:00Z",7.5
"2022-05-22T08:50:00Z",26.5
"2022-05-22T08:51:00Z",7.5
"2022-05-22T08:52:00Z",17.5
"2022-05-22T08:53:00Z",28
"2022-05-22T08:54:00Z",8
"2022-05-22T08:55:00Z",29
"2022-05-22T08:56:00Z",29
"2022-05-22T08:57:00Z",8
"2022-05-22T08:58:00Z",30
"2022-05-22T08:59:00Z",8
"2022-05-22T09:00:00Z",31
"2022-05-22T09:01:00Z",31
"2022-05-22T09:02:00Z",8
"2022-05-22T09:03:00Z",32
"2022-05-22T09:04:00Z",19.5
"2022-05-22T09:05:00Z",7.5
"2022-05-22T09:06:00Z",33
"2022-05-22T09:07:00Z",7.5
"2022-05-22T09:08:00Z",7.5
"2022-05-22T09:09:00Z",32.5
"2022-05-22T09:10:00Z",32.5
"2022-05-22T09:11:00Z",32.5
"2022-05-22T09:12:00Z",20.5
"2022-05-22T09:13:00Z",31.5
"2022-05-22T09:14:00Z",20.5
"2022-05-22T09:15:00Z",7.5
"2022-05-22T09:16:00Z",32.5
"2022-05-22T09:17:00Z",32.5
"2022-05-22T09:18:00Z",32.5
"2022-05-22T09:19:00Z",32.5
"2022-05-22T09:20:00Z",32.5
"2022-05-22T09:21:00Z",7.5
"2022-05-22T09:22:00Z",32.5
"2022-05-22T09:23:00Z",32.5
"2022-05-22T09:24:00Z",32.5
"2022-05-22T09:25:00Z",32.5
"2022-05-22T09:26:00Z",33
"2022-05-22T09:27:00Z",8
"2022-05-22T09:28:00Z",33
"2022-05-22T09:29:00Z",33.5
"2022-05-22T09:30:00Z",33
"2022-05-22T09:31:00Z",33
"2022-05-22T09:32:00Z",33
"2022-05-22T09:33:00Z",8
"2022-05-22T09:34:00Z",4
"2022-05-22T09:35:00Z",3.5
"2022-05-22T09:36:00Z",29
"2022-05-22T09:37:00Z",29
"2022-05-22T09:38:00Z",33
"2022-05-22T09:39:00Z",21
"2022-05-22T09:40:00Z",32
"2022-05-22T09:41:00Z",21.5
"2022-05-22T09:42:00Z",33
"2022-05-22T09:43:00Z",33
"2022-05-22T09:44:00Z",33
"2022-05-22T09:45:00Z",32.5
"2022-05-22T09:46:00Z",33.5
"2022-05-22T09:47:00Z",32.5
"2022-05-22T09:48:00Z",32.5
"2022-05-22T09:49:00Z",32.5
"2022-05-22T09:50:00Z",32.5
"2022-05-22T09:51:00Z",7.5
"2022-05-22T09:52:00Z",5
"2022-05-22T09:53:00Z",3.5
"2022-05-22T09:54:00Z",16.5
"2022-05-22T09:55:00Z",27.5
"2022-05-22T09:56:00Z",16.5
"2022-05-22T09:57:00Z",32.5
"2022-05-22T09:58:00Z",32.5
"2022-05-22T09:59:00Z",32.5
"2022-05-22T10:00:00Z",32.5
"2022-05-22T10:01:00Z",32.5
"2022-05-22T10:02:00Z",32.5
"2022-05-22T10:03:00Z",32.5
"2022-05-22T10:04:00Z",33
"2022-05-22T10:05:00Z",33
"2022-05-22T10:06:00Z",33
"2022-05-22T10:07:00Z",33
"2022-05-22T10:08:00Z",33
"2022-05-22T10:09:00Z",8
"2022-05-22T10:10:00Z",4.5
"2022-05-22T10:11:00Z",4
"2022-05-22T10:12:00Z",4
"2022-05-22T10:13:00Z",29
"2022-05-22T10:14:00Z",29
"2022-05-22T10:15:00Z",33
"2022-05-22T10:16:00Z",33
"2022-05-22T10:17:00Z",33
"2022-05-22T10:18:00Z",33
"2022-05-22T10:19:00Z",33.5
"2022-05-22T10:20:00Z",33
"2022-05-22T10:21:00Z",33
"2022-05-22T10:22:00Z",32.5
"2022-05-22T10:23:00Z",32.5
"2022-05-22T10:24:00Z",32.5
"2022-05-22T10:25:00Z",32.5
"2022-05-22T10:26:00Z",20.5
"2022-05-22T10:27:00Z",19.5
"2022-05-22T10:28:00Z",7.5
