"datetime","estimatedALBActiveConnectionCount"
"2022-03-16T21:00:00Z",63
"2022-03-16T21:01:00Z",62.5
"2022-03-16T21:02:00Z",63
"2022-03-16T21:03:00Z",7.5
"2022-03-16T21:04:00Z",68.5
"2022-03-16T21:05:00Z",65.5
"2022-03-16T21:06:00Z",7.5
"2022-03-16T21:07:00Z",38
"2022-03-16T21:08:00Z",22.5
"2022-03-16T21:09:00Z",7
"2022-03-16T21:10:00Z",38
"2022-03-16T21:11:00Z",38.75
"2022-03-16T21:12:00Z",23.25
"2022-03-16T21:13:00Z",22.75
"2022-03-16T21:14:00Z",39.5
"2022-03-16T21:15:00Z",25.25
"2022-03-16T21:16:00Z",8.25
"2022-03-16T21:17:00Z",29
"2022-03-16T21:18:00Z",29
"2022-03-16T21:19:00Z",7.333333333333333
"2022-03-16T21:20:00Z",29
"2022-03-16T21:21:00Z",29.666666666666668
"2022-03-16T21:22:00Z",18.5
"2022-03-16T21:23:00Z",19
"2022-03-16T21:24:00Z",29.333333333333332
"2022-03-16T21:25:00Z",18.666666666666668
"2022-03-16T21:26:00Z",7.833333333333333
"2022-03-16T21:27:00Z",30.333333333333332
"2022-03-16T21:28:00Z",30
"2022-03-16T21:29:00Z",7.5
"2022-03-16T21:30:00Z",30.5
"2022-03-16T21:31:00Z",35.8
"2022-03-16T21:32:00Z",9.25
"2022-03-16T21:33:00Z",43.5
"2022-03-16T21:34:00Z",44
"2022-03-16T21:35:00Z",24.75
"2022-03-16T21:36:00Z",7.75
"2022-03-16T21:37:00Z",24.75
"2022-03-16T21:38:00Z",25.75
"2022-03-16T21:39:00Z",42.5
"2022-03-16T21:40:00Z",42.75
"2022-03-16T21:41:00Z",42.75
"2022-03-16T21:42:00Z",42.25
"2022-03-16T21:43:00Z",7.5
"2022-03-16T21:44:00Z",55.333333333333336
"2022-03-16T21:45:00Z",79.5
"2022-03-16T21:46:00Z",80.5
"2022-03-16T21:47:00Z",77.5
"2022-03-16T21:48:00Z",76.5
"2022-03-16T21:49:00Z",7
"2022-03-16T21:50:00Z",76
"2022-03-16T21:51:00Z",76.5
"2022-03-16T21:52:00Z",77.5
"2022-03-16T21:53:00Z",77.5
"2022-03-16T21:54:00Z",77.5
"2022-03-16T21:55:00Z",7
"2022-03-16T21:56:00Z",77
"2022-03-16T21:57:00Z",77
"2022-03-16T21:58:00Z",77
"2022-03-16T21:59:00Z",76
"2022-03-16T22:00:00Z",77
"2022-03-16T22:01:00Z",6
"2022-03-16T22:02:00Z",4
"2022-03-16T22:03:00Z",3
"2022-03-16T22:04:00Z",38
"2022-03-16T22:05:00Z",72.5
"2022-03-16T22:06:00Z",38
"2022-03-16T22:07:00Z",92
"2022-03-16T22:08:00Z",77
"2022-03-16T22:09:00Z",77
"2022-03-16T22:10:00Z",75.5
"2022-03-16T22:11:00Z",77
"2022-03-16T22:12:00Z",77.5
"2022-03-16T22:13:00Z",76.5
"2022-03-16T22:14:00Z",77.5
"2022-03-16T22:15:00Z",77.5
"2022-03-16T22:16:00Z",77.5
"2022-03-16T22:17:00Z",77.5
"2022-03-16T22:18:00Z",77.5
"2022-03-16T22:19:00Z",7.5
"2022-03-16T22:20:00Z",3.5
"2022-03-16T22:21:00Z",3.5
"2022-03-16T22:22:00Z",3.5
"2022-03-16T22:23:00Z",72.5
"2022-03-16T22:24:00Z",73.5
"2022-03-16T22:25:00Z",73.5
"2022-03-16T22:26:00Z",113.5
"2022-03-16T22:27:00Z",78
"2022-03-16T22:28:00Z",77.5
"2022-03-16T22:29:00Z",77.5
"2022-03-16T22:30:00Z",77.5
"2022-03-16T22:31:00Z",77.5
"2022-03-16T22:32:00Z",77.5
"2022-03-16T22:33:00Z",76
"2022-03-16T22:34:00Z",75.5
"2022-03-16T22:35:00Z",77
"2022-03-16T22:36:00Z",42
"2022-03-16T22:37:00Z",42
"2022-03-16T22:38:00Z",3
"2022-03-16T22:39:00Z",3
"2022-03-16T22:40:00Z",3
"2022-03-16T22:41:00Z",73
"2022-03-16T22:42:00Z",73
"2022-03-16T22:43:00Z",73
"2022-03-16T22:44:00Z",73
"2022-03-16T22:45:00Z",73
"2022-03-16T22:46:00Z",102
"2022-03-16T22:47:00Z",77
"2022-03-16T22:48:00Z",77.5
"2022-03-16T22:49:00Z",77.5
"2022-03-16T22:50:00Z",77.5
"2022-03-16T22:51:00Z",41.5
"2022-03-16T22:52:00Z",77.5
"2022-03-16T22:53:00Z",77.5
"2022-03-16T22:54:00Z",76.5
"2022-03-16T22:55:00Z",42.5
"2022-03-16T22:56:00Z",7.5
"2022-03-16T22:57:00Z",7.5
