"datetime","estimatedALBActiveConnectionCount"
"2022-05-18T20:35:00Z",4.5
"2022-05-18T20:36:00Z",4.5
"2022-05-18T20:37:00Z",4.5
"2022-05-18T20:38:00Z",4.5
"2022-05-18T20:39:00Z",25.5
"2022-05-18T20:40:00Z",24
"2022-05-18T20:41:00Z",9
"2022-05-18T20:42:00Z",25
"2022-05-18T20:43:00Z",9
"2022-05-18T20:44:00Z",26
"2022-05-18T20:45:00Z",26
"2022-05-18T20:46:00Z",9
"2022-05-18T20:47:00Z",27
"2022-05-18T20:48:00Z",9.5
"2022-05-18T20:49:00Z",28.5
"2022-05-18T20:50:00Z",28.5
"2022-05-18T20:51:00Z",9.5
"2022-05-18T20:52:00Z",29.5
"2022-05-18T20:53:00Z",9.5
"2022-05-18T20:54:00Z",30.5
"2022-05-18T20:55:00Z",30.5
"2022-05-18T20:56:00Z",9.5
"2022-05-18T20:57:00Z",31.5
"2022-05-18T20:58:00Z",9.5
"2022-05-18T20:59:00Z",32.5
"2022-05-18T21:00:00Z",32.5
"2022-05-18T21:01:00Z",9.5
"2022-05-18T21:02:00Z",33.5
"2022-05-18T21:03:00Z",9.5
"2022-05-18T21:04:00Z",34.5
"2022-05-18T21:05:00Z",34
"2022-05-18T21:06:00Z",9
"2022-05-18T21:07:00Z",8.5
"2022-05-18T21:08:00Z",33.5
"2022-05-18T21:09:00Z",33.5
"2022-05-18T21:10:00Z",33.5
"2022-05-18T21:11:00Z",33.5
"2022-05-18T21:12:00Z",33.5
"2022-05-18T21:13:00Z",8.5
"2022-05-18T21:14:00Z",33.5
"2022-05-18T21:15:00Z",33.5
"2022-05-18T21:16:00Z",33.5
"2022-05-18T21:17:00Z",33.5
"2022-05-18T21:18:00Z",33.5
"2022-05-18T21:19:00Z",8.5
"2022-05-18T21:20:00Z",33.5
"2022-05-18T21:21:00Z",34
"2022-05-18T21:22:00Z",34
"2022-05-18T21:23:00Z",34
"2022-05-18T21:24:00Z",34
"2022-05-18T21:25:00Z",9
"2022-05-18T21:26:00Z",34
"2022-05-18T21:27:00Z",34.5
"2022-05-18T21:28:00Z",34
"2022-05-18T21:29:00Z",34
"2022-05-18T21:30:00Z",34
"2022-05-18T21:31:00Z",7.5
"2022-05-18T21:32:00Z",3.5
"2022-05-18T21:33:00Z",4.5
"2022-05-18T21:34:00Z",4.5
"2022-05-18T21:35:00Z",29.5
"2022-05-18T21:36:00Z",20.5
"2022-05-18T21:37:00Z",30.5
"2022-05-18T21:38:00Z",29
"2022-05-18T21:39:00Z",45.5
"2022-05-18T21:40:00Z",46
"2022-05-18T21:41:00Z",33.5
"2022-05-18T21:42:00Z",33.5
"2022-05-18T21:43:00Z",34.5
"2022-05-18T21:44:00Z",33.5
"2022-05-18T21:45:00Z",33.5
"2022-05-18T21:46:00Z",33.5
"2022-05-18T21:47:00Z",33.5
"2022-05-18T21:48:00Z",33.5
"2022-05-18T21:49:00Z",7
"2022-05-18T21:50:00Z",4.5
"2022-05-18T21:51:00Z",4.5
"2022-05-18T21:52:00Z",30
"2022-05-18T21:53:00Z",29.5
"2022-05-18T21:54:00Z",29.5
"2022-05-18T21:55:00Z",29.5
"2022-05-18T21:56:00Z",29.5
"2022-05-18T21:57:00Z",47.5
"2022-05-18T21:58:00Z",34
"2022-05-18T21:59:00Z",34
"2022-05-18T22:00:00Z",34
"2022-05-18T22:01:00Z",34
"2022-05-18T22:02:00Z",34
"2022-05-18T22:03:00Z",34
"2022-05-18T22:04:00Z",34
"2022-05-18T22:05:00Z",34
"2022-05-18T22:06:00Z",9
"2022-05-18T22:07:00Z",5.5
"2022-05-18T22:08:00Z",4.5
"2022-05-18T22:09:00Z",29.5
"2022-05-18T22:10:00Z",29.5
"2022-05-18T22:11:00Z",29.5
"2022-05-18T22:12:00Z",17.5
"2022-05-18T22:13:00Z",28.5
"2022-05-18T22:14:00Z",29.5
"2022-05-18T22:15:00Z",57
"2022-05-18T22:16:00Z",37.5
"2022-05-18T22:17:00Z",33.5
"2022-05-18T22:18:00Z",33.5
"2022-05-18T22:19:00Z",33.5
"2022-05-18T22:20:00Z",33.5
"2022-05-18T22:21:00Z",33.5
"2022-05-18T22:22:00Z",33.5
"2022-05-18T22:23:00Z",33.5
"2022-05-18T22:24:00Z",9
"2022-05-18T22:25:00Z",9
