"datetime","groupInServiceCapacity"
"2022-06-04T03:46:00Z",1
"2022-06-04T03:47:00Z",1
"2022-06-04T03:48:00Z",1
"2022-06-04T03:49:00Z",1
"2022-06-04T03:50:00Z",3
"2022-06-04T03:51:00Z",3
"2022-06-04T03:52:00Z",3
"2022-06-04T03:53:00Z",3
"2022-06-04T03:54:00Z",3
"2022-06-04T03:55:00Z",3
"2022-06-04T03:56:00Z",3
"2022-06-04T03:57:00Z",3
"2022-06-04T03:58:00Z",3
"2022-06-04T03:59:00Z",3
"2022-06-04T04:00:00Z",3
"2022-06-04T04:01:00Z",3
"2022-06-04T04:02:00Z",3
"2022-06-04T04:03:00Z",3
"2022-06-04T04:04:00Z",3
"2022-06-04T04:05:00Z",3
"2022-06-04T04:06:00Z",3
"2022-06-04T04:07:00Z",3
"2022-06-04T04:08:00Z",3
"2022-06-04T04:09:00Z",3
"2022-06-04T04:10:00Z",3
"2022-06-04T04:11:00Z",3
"2022-06-04T04:12:00Z",3
"2022-06-04T04:13:00Z",3
"2022-06-04T04:14:00Z",3
"2022-06-04T04:15:00Z",3
"2022-06-04T04:16:00Z",3
"2022-06-04T04:17:00Z",3
"2022-06-04T04:18:00Z",3
"2022-06-04T04:19:00Z",3
"2022-06-04T04:20:00Z",3
"2022-06-04T04:21:00Z",3
"2022-06-04T04:22:00Z",3
"2022-06-04T04:23:00Z",3
"2022-06-04T04:24:00Z",3
"2022-06-04T04:25:00Z",3
"2022-06-04T04:26:00Z",3
"2022-06-04T04:27:00Z",3
"2022-06-04T04:28:00Z",3
"2022-06-04T04:29:00Z",3
"2022-06-04T04:30:00Z",3
"2022-06-04T04:31:00Z",3
"2022-06-04T04:32:00Z",3
"2022-06-04T04:33:00Z",3
"2022-06-04T04:34:00Z",3
"2022-06-04T04:35:00Z",3
"2022-06-04T04:36:00Z",3
"2022-06-04T04:37:00Z",3
"2022-06-04T04:38:00Z",3
"2022-06-04T04:39:00Z",3
"2022-06-04T04:40:00Z",3
"2022-06-04T04:41:00Z",3
"2022-06-04T04:42:00Z",0
"2022-06-04T04:43:00Z",1
"2022-06-04T04:44:00Z",1
"2022-06-04T04:45:00Z",1
"2022-06-04T04:46:00Z",1
"2022-06-04T04:47:00Z",1
"2022-06-04T04:48:00Z",1
"2022-06-04T04:49:00Z",1
"2022-06-04T04:50:00Z",1
"2022-06-04T04:51:00Z",1
"2022-06-04T04:52:00Z",2
"2022-06-04T04:53:00Z",2
"2022-06-04T04:54:00Z",2
"2022-06-04T04:55:00Z",2
"2022-06-04T04:56:00Z",2
"2022-06-04T04:57:00Z",2
"2022-06-04T04:58:00Z",3
"2022-06-04T04:59:00Z",3
"2022-06-04T05:00:00Z",1
"2022-06-04T05:01:00Z",1
"2022-06-04T05:02:00Z",1
"2022-06-04T05:03:00Z",1
"2022-06-04T05:04:00Z",1
"2022-06-04T05:05:00Z",1
"2022-06-04T05:06:00Z",1
"2022-06-04T05:07:00Z",1
"2022-06-04T05:08:00Z",1
"2022-06-04T05:09:00Z",2
"2022-06-04T05:10:00Z",2
"2022-06-04T05:11:00Z",2
"2022-06-04T05:12:00Z",2
"2022-06-04T05:13:00Z",2
"2022-06-04T05:14:00Z",2
"2022-06-04T05:15:00Z",3
"2022-06-04T05:16:00Z",3
"2022-06-04T05:17:00Z",3
"2022-06-04T05:18:00Z",1
"2022-06-04T05:19:00Z",1
"2022-06-04T05:20:00Z",1
"2022-06-04T05:21:00Z",1
"2022-06-04T05:22:00Z",1
"2022-06-04T05:23:00Z",1
"2022-06-04T05:24:00Z",1
"2022-06-04T05:25:00Z",1
"2022-06-04T05:26:00Z",2
"2022-06-04T05:27:00Z",2
"2022-06-04T05:28:00Z",2
"2022-06-04T05:29:00Z",2
"2022-06-04T05:30:00Z",2
"2022-06-04T05:31:00Z",2
"2022-06-04T05:32:00Z",3
"2022-06-04T05:33:00Z",3
"2022-06-04T05:34:00Z",3
"2022-06-04T05:35:00Z",3
"2022-06-04T05:36:00Z",3
"2022-06-04T05:37:00Z",3
