"datetime","estimatedALBActiveConnectionCount"
"2022-04-22T21:59:00Z",4
"2022-04-22T22:00:00Z",4
"2022-04-22T22:01:00Z",4
"2022-04-22T22:02:00Z",3.5
"2022-04-22T22:03:00Z",13.5
"2022-04-22T22:04:00Z",12.5
"2022-04-22T22:05:00Z",7.5
"2022-04-22T22:06:00Z",13.5
"2022-04-22T22:07:00Z",7.5
"2022-04-22T22:08:00Z",14.5
"2022-04-22T22:09:00Z",14.5
"2022-04-22T22:10:00Z",8
"2022-04-22T22:11:00Z",16
"2022-04-22T22:12:00Z",8
"2022-04-22T22:13:00Z",17
"2022-04-22T22:14:00Z",17
"2022-04-22T22:15:00Z",8
"2022-04-22T22:16:00Z",18.5
"2022-04-22T22:17:00Z",8.5
"2022-04-22T22:18:00Z",8.5
"2022-04-22T22:19:00Z",13.5
"2022-04-22T22:20:00Z",18.5
"2022-04-22T22:21:00Z",18.5
"2022-04-22T22:22:00Z",18.5
"2022-04-22T22:23:00Z",18
"2022-04-22T22:24:00Z",13
"2022-04-22T22:25:00Z",7.5
"2022-04-22T22:26:00Z",17.5
"2022-04-22T22:27:00Z",17.5
"2022-04-22T22:28:00Z",17.5
"2022-04-22T22:29:00Z",17.5
"2022-04-22T22:30:00Z",17.5
"2022-04-22T22:31:00Z",8
"2022-04-22T22:32:00Z",18
"2022-04-22T22:33:00Z",19
"2022-04-22T22:34:00Z",18
"2022-04-22T22:35:00Z",18
"2022-04-22T22:36:00Z",18
"2022-04-22T22:37:00Z",8
"2022-04-22T22:38:00Z",18
"2022-04-22T22:39:00Z",18
"2022-04-22T22:40:00Z",18
"2022-04-22T22:41:00Z",18
"2022-04-22T22:42:00Z",18
"2022-04-22T22:43:00Z",4.5
"2022-04-22T22:44:00Z",4
"2022-04-22T22:45:00Z",4.5
"2022-04-22T22:46:00Z",14.5
"2022-04-22T22:47:00Z",14.5
"2022-04-22T22:48:00Z",14.5
"2022-04-22T22:49:00Z",15
"2022-04-22T22:50:00Z",14
"2022-04-22T22:51:00Z",23
"2022-04-22T22:52:00Z",22
"2022-04-22T22:53:00Z",18
"2022-04-22T22:54:00Z",17.5
"2022-04-22T22:55:00Z",17.5
"2022-04-22T22:56:00Z",17.5
"2022-04-22T22:57:00Z",17.5
"2022-04-22T22:58:00Z",18
"2022-04-22T22:59:00Z",18
"2022-04-22T23:00:00Z",8
"2022-04-22T23:01:00Z",4.5
"2022-04-22T23:02:00Z",3.5
"2022-04-22T23:03:00Z",13.5
"2022-04-22T23:04:00Z",13.5
"2022-04-22T23:05:00Z",10.5
"2022-04-22T23:06:00Z",13.5
"2022-04-22T23:07:00Z",13.5
"2022-04-22T23:08:00Z",21.5
"2022-04-22T23:09:00Z",25
"2022-04-22T23:10:00Z",18
"2022-04-22T23:11:00Z",18
"2022-04-22T23:12:00Z",12.5
"2022-04-22T23:13:00Z",17.5
"2022-04-22T23:14:00Z",18
"2022-04-22T23:15:00Z",18
"2022-04-22T23:16:00Z",18
"2022-04-22T23:17:00Z",18
"2022-04-22T23:18:00Z",6
"2022-04-22T23:19:00Z",4
"2022-04-22T23:20:00Z",4
"2022-04-22T23:21:00Z",14
"2022-04-22T23:22:00Z",14
"2022-04-22T23:23:00Z",14.5
"2022-04-22T23:24:00Z",14
"2022-04-22T23:25:00Z",15
"2022-04-22T23:26:00Z",23.5
"2022-04-22T23:27:00Z",23.5
"2022-04-22T23:28:00Z",18.5
"2022-04-22T23:29:00Z",18.5
"2022-04-22T23:30:00Z",18.5
"2022-04-22T23:31:00Z",18.5
"2022-04-22T23:32:00Z",19
"2022-04-22T23:33:00Z",19
"2022-04-22T23:34:00Z",19
"2022-04-22T23:35:00Z",9
"2022-04-22T23:36:00Z",9
