"datetime","estimatedALBActiveConnectionCount"
"2022-04-19T03:28:00Z",20
"2022-04-19T03:29:00Z",14
"2022-04-19T03:30:00Z",15
"2022-04-19T03:31:00Z",23
"2022-04-19T03:32:00Z",7
"2022-04-19T03:33:00Z",24
"2022-04-19T03:34:00Z",16
"2022-04-19T03:35:00Z",16
"2022-04-19T03:36:00Z",25
"2022-04-19T03:37:00Z",7
"2022-04-19T03:38:00Z",16
"2022-04-19T03:39:00Z",26
"2022-04-19T03:40:00Z",7
"2022-04-19T03:41:00Z",27
"2022-04-19T03:42:00Z",17
"2022-04-19T03:43:00Z",18.5
"2022-04-19T03:44:00Z",28.5
"2022-04-19T03:45:00Z",7.5
"2022-04-19T03:46:00Z",29.5
"2022-04-19T03:47:00Z",18.5
"2022-04-19T03:48:00Z",18.5
"2022-04-19T03:49:00Z",30.5
"2022-04-19T03:50:00Z",7.5
"2022-04-19T03:51:00Z",19.5
"2022-04-19T03:52:00Z",31.5
"2022-04-19T03:53:00Z",7.5
"2022-04-19T03:54:00Z",32.5
"2022-04-19T03:55:00Z",20.5
"2022-04-19T03:56:00Z",7.5
"2022-04-19T03:57:00Z",20.5
"2022-04-19T03:58:00Z",31.5
"2022-04-19T03:59:00Z",32.5
"2022-04-19T04:00:00Z",33.5
"2022-04-19T04:01:00Z",19.5
"2022-04-19T04:02:00Z",32
"2022-04-19T04:03:00Z",7
"2022-04-19T04:04:00Z",32
"2022-04-19T04:05:00Z",32
"2022-04-19T04:06:00Z",32
"2022-04-19T04:07:00Z",32
"2022-04-19T04:08:00Z",32
"2022-04-19T04:09:00Z",7
"2022-04-19T04:10:00Z",32
"2022-04-19T04:11:00Z",32
"2022-04-19T04:12:00Z",32
"2022-04-19T04:13:00Z",32
"2022-04-19T04:14:00Z",32
"2022-04-19T04:15:00Z",7
"2022-04-19T04:16:00Z",32
"2022-04-19T04:17:00Z",32
"2022-04-19T04:18:00Z",32
"2022-04-19T04:19:00Z",32
"2022-04-19T04:20:00Z",32.5
"2022-04-19T04:21:00Z",6.5
"2022-04-19T04:22:00Z",5
"2022-04-19T04:23:00Z",4
"2022-04-19T04:24:00Z",16.5
"2022-04-19T04:25:00Z",27.5
"2022-04-19T04:26:00Z",29.5
"2022-04-19T04:27:00Z",35.5
"2022-04-19T04:28:00Z",37.5
"2022-04-19T04:29:00Z",31.5
"2022-04-19T04:30:00Z",21
"2022-04-19T04:31:00Z",32.5
"2022-04-19T04:32:00Z",32.5
"2022-04-19T04:33:00Z",32.5
"2022-04-19T04:34:00Z",32.5
"2022-04-19T04:35:00Z",32.5
"2022-04-19T04:36:00Z",32.5
"2022-04-19T04:37:00Z",32.5
"2022-04-19T04:38:00Z",32
"2022-04-19T04:39:00Z",7
"2022-04-19T04:40:00Z",6
"2022-04-19T04:41:00Z",3
"2022-04-19T04:42:00Z",3
"2022-04-19T04:43:00Z",15
"2022-04-19T04:44:00Z",29
"2022-04-19T04:45:00Z",27
"2022-04-19T04:46:00Z",50
"2022-04-19T04:47:00Z",38
"2022-04-19T04:48:00Z",32
"2022-04-19T04:49:00Z",33
"2022-04-19T04:50:00Z",19
"2022-04-19T04:51:00Z",32
"2022-04-19T04:52:00Z",32
"2022-04-19T04:53:00Z",32
"2022-04-19T04:54:00Z",32.5
"2022-04-19T04:55:00Z",33
"2022-04-19T04:56:00Z",33
"2022-04-19T04:57:00Z",32.5
"2022-04-19T04:58:00Z",6.5
"2022-04-19T04:59:00Z",6
"2022-04-19T05:00:00Z",3.5
"2022-04-19T05:01:00Z",15.5
"2022-04-19T05:02:00Z",28.5
"2022-04-19T05:03:00Z",29.5
"2022-04-19T05:04:00Z",36
"2022-04-19T05:05:00Z",27
"2022-04-19T05:06:00Z",32.5
"2022-04-19T05:07:00Z",33
"2022-04-19T05:08:00Z",32.5
"2022-04-19T05:09:00Z",32.5
"2022-04-19T05:10:00Z",32.5
"2022-04-19T05:11:00Z",32.5
"2022-04-19T05:12:00Z",32.5
"2022-04-19T05:13:00Z",32
"2022-04-19T05:14:00Z",32
"2022-04-19T05:15:00Z",20
"2022-04-19T05:16:00Z",19
"2022-04-19T05:17:00Z",7
"2022-04-19T05:18:00Z",7
