"datetime","groupInServiceCapacity"
"2022-05-12T01:38:00Z",1
"2022-05-12T01:39:00Z",1
"2022-05-12T01:40:00Z",1
"2022-05-12T01:41:00Z",1
"2022-05-12T01:42:00Z",3
"2022-05-12T01:43:00Z",3
"2022-05-12T01:44:00Z",3
"2022-05-12T01:45:00Z",3
"2022-05-12T01:46:00Z",3
"2022-05-12T01:47:00Z",3
"2022-05-12T01:48:00Z",3
"2022-05-12T01:49:00Z",3
"2022-05-12T01:50:00Z",3
"2022-05-12T01:51:00Z",3
"2022-05-12T01:52:00Z",3
"2022-05-12T01:53:00Z",3
"2022-05-12T01:54:00Z",3
"2022-05-12T01:55:00Z",3
"2022-05-12T01:56:00Z",3
"2022-05-12T01:57:00Z",3
"2022-05-12T01:58:00Z",3
"2022-05-12T01:59:00Z",3
"2022-05-12T02:00:00Z",3
"2022-05-12T02:01:00Z",3
"2022-05-12T02:02:00Z",3
"2022-05-12T02:03:00Z",3
"2022-05-12T02:04:00Z",3
"2022-05-12T02:05:00Z",3
"2022-05-12T02:06:00Z",3
"2022-05-12T02:07:00Z",3
"2022-05-12T02:08:00Z",3
"2022-05-12T02:09:00Z",3
"2022-05-12T02:10:00Z",3
"2022-05-12T02:11:00Z",3
"2022-05-12T02:12:00Z",3
"2022-05-12T02:13:00Z",3
"2022-05-12T02:14:00Z",3
"2022-05-12T02:15:00Z",3
"2022-05-12T02:16:00Z",3
"2022-05-12T02:17:00Z",3
"2022-05-12T02:18:00Z",3
"2022-05-12T02:19:00Z",3
"2022-05-12T02:20:00Z",3
"2022-05-12T02:21:00Z",3
"2022-05-12T02:22:00Z",3
"2022-05-12T02:23:00Z",3
"2022-05-12T02:24:00Z",3
"2022-05-12T02:25:00Z",3
"2022-05-12T02:26:00Z",3
"2022-05-12T02:27:00Z",3
"2022-05-12T02:28:00Z",3
"2022-05-12T02:29:00Z",3
"2022-05-12T02:30:00Z",3
"2022-05-12T02:31:00Z",3
"2022-05-12T02:32:00Z",3
"2022-05-12T02:33:00Z",3
"2022-05-12T02:34:00Z",0
"2022-05-12T02:35:00Z",1
"2022-05-12T02:36:00Z",1
"2022-05-12T02:37:00Z",1
"2022-05-12T02:38:00Z",1
"2022-05-12T02:39:00Z",1
"2022-05-12T02:40:00Z",1
"2022-05-12T02:41:00Z",1
"2022-05-12T02:42:00Z",1
"2022-05-12T02:43:00Z",2
"2022-05-12T02:44:00Z",2
"2022-05-12T02:45:00Z",2
"2022-05-12T02:46:00Z",2
"2022-05-12T02:47:00Z",2
"2022-05-12T02:48:00Z",2
"2022-05-12T02:49:00Z",3
"2022-05-12T02:50:00Z",3
"2022-05-12T02:51:00Z",3
"2022-05-12T02:52:00Z",1
"2022-05-12T02:53:00Z",1
"2022-05-12T02:54:00Z",1
"2022-05-12T02:55:00Z",1
"2022-05-12T02:56:00Z",1
"2022-05-12T02:57:00Z",1
"2022-05-12T02:58:00Z",1
"2022-05-12T02:59:00Z",1
"2022-05-12T03:00:00Z",2
"2022-05-12T03:01:00Z",2
"2022-05-12T03:02:00Z",2
"2022-05-12T03:03:00Z",2
"2022-05-12T03:04:00Z",2
"2022-05-12T03:05:00Z",2
"2022-05-12T03:06:00Z",3
"2022-05-12T03:07:00Z",3
"2022-05-12T03:08:00Z",3
"2022-05-12T03:09:00Z",1
"2022-05-12T03:10:00Z",1
"2022-05-12T03:11:00Z",1
"2022-05-12T03:12:00Z",1
"2022-05-12T03:13:00Z",1
"2022-05-12T03:14:00Z",1
"2022-05-12T03:15:00Z",1
"2022-05-12T03:16:00Z",1
"2022-05-12T03:17:00Z",2
"2022-05-12T03:18:00Z",2
"2022-05-12T03:19:00Z",2
"2022-05-12T03:20:00Z",2
"2022-05-12T03:21:00Z",2
"2022-05-12T03:22:00Z",2
"2022-05-12T03:23:00Z",2
"2022-05-12T03:24:00Z",3
"2022-05-12T03:25:00Z",3
"2022-05-12T03:26:00Z",3
"2022-05-12T03:27:00Z",3
"2022-05-12T03:28:00Z",3
"2022-05-12T03:29:00Z",3
