"datetime","estimatedALBActiveConnectionCount"
"2022-05-24T08:56:00Z",3
"2022-05-24T08:57:00Z",34
"2022-05-24T08:58:00Z",70
"2022-05-24T08:59:00Z",37.5
"2022-05-24T09:00:00Z",37.5
"2022-05-24T09:01:00Z",68.5
"2022-05-24T09:02:00Z",68
"2022-05-24T09:03:00Z",7
"2022-05-24T09:04:00Z",38.5
"2022-05-24T09:05:00Z",38.25
"2022-05-24T09:06:00Z",7.5
"2022-05-24T09:07:00Z",38.75
"2022-05-24T09:08:00Z",38.25
"2022-05-24T09:09:00Z",7.5
"2022-05-24T09:10:00Z",39.25
"2022-05-24T09:11:00Z",40
"2022-05-24T09:12:00Z",9
"2022-05-24T09:13:00Z",6.75
"2022-05-24T09:14:00Z",28.5
"2022-05-24T09:15:00Z",29.333333333333332
"2022-05-24T09:16:00Z",7.666666666666667
"2022-05-24T09:17:00Z",29
"2022-05-24T09:18:00Z",29.5
"2022-05-24T09:19:00Z",18.833333333333332
"2022-05-24T09:20:00Z",18.833333333333332
"2022-05-24T09:21:00Z",29.833333333333332
"2022-05-24T09:22:00Z",29.833333333333332
"2022-05-24T09:23:00Z",7.833333333333333
"2022-05-24T09:24:00Z",30.5
"2022-05-24T09:25:00Z",30.5
"2022-05-24T09:26:00Z",7.833333333333333
"2022-05-24T09:27:00Z",44
"2022-05-24T09:28:00Z",44
"2022-05-24T09:29:00Z",8.5
"2022-05-24T09:30:00Z",42.75
"2022-05-24T09:31:00Z",42.5
"2022-05-24T09:32:00Z",25
"2022-05-24T09:33:00Z",8
"2022-05-24T09:34:00Z",8
"2022-05-24T09:35:00Z",42.75
"2022-05-24T09:36:00Z",43
"2022-05-24T09:37:00Z",43
"2022-05-24T09:38:00Z",42.75
"2022-05-24T09:39:00Z",41.5
"2022-05-24T09:40:00Z",7.5
"2022-05-24T09:41:00Z",79.5
"2022-05-24T09:42:00Z",80
"2022-05-24T09:43:00Z",80.5
"2022-05-24T09:44:00Z",76.5
"2022-05-24T09:45:00Z",78
"2022-05-24T09:46:00Z",8
"2022-05-24T09:47:00Z",76
"2022-05-24T09:48:00Z",76
"2022-05-24T09:49:00Z",78
"2022-05-24T09:50:00Z",77.5
"2022-05-24T09:51:00Z",77.5
"2022-05-24T09:52:00Z",7
"2022-05-24T09:53:00Z",77.5
"2022-05-24T09:54:00Z",78
"2022-05-24T09:55:00Z",78
"2022-05-24T09:56:00Z",75.5
"2022-05-24T09:57:00Z",77
"2022-05-24T09:58:00Z",7.5
"2022-05-24T09:59:00Z",4
"2022-05-24T10:00:00Z",4
"2022-05-24T10:01:00Z",4
"2022-05-24T10:02:00Z",74
"2022-05-24T10:03:00Z",74
"2022-05-24T10:04:00Z",78
"2022-05-24T10:05:00Z",77
"2022-05-24T10:06:00Z",78
"2022-05-24T10:07:00Z",78
"2022-05-24T10:08:00Z",78
"2022-05-24T10:09:00Z",77.5
"2022-05-24T10:10:00Z",78
"2022-05-24T10:11:00Z",78
"2022-05-24T10:12:00Z",76
"2022-05-24T10:13:00Z",77
"2022-05-24T10:14:00Z",78
"2022-05-24T10:15:00Z",77
"2022-05-24T10:16:00Z",8
"2022-05-24T10:17:00Z",6
"2022-05-24T10:18:00Z",4
"2022-05-24T10:19:00Z",4
"2022-05-24T10:20:00Z",73
"2022-05-24T10:21:00Z",74
"2022-05-24T10:22:00Z",113
"2022-05-24T10:23:00Z",44.5
"2022-05-24T10:24:00Z",78
"2022-05-24T10:25:00Z",78
"2022-05-24T10:26:00Z",42.5
"2022-05-24T10:27:00Z",77.5
"2022-05-24T10:28:00Z",77.5
"2022-05-24T10:29:00Z",77.5
"2022-05-24T10:30:00Z",78
"2022-05-24T10:31:00Z",76.5
"2022-05-24T10:32:00Z",77
"2022-05-24T10:33:00Z",78
"2022-05-24T10:34:00Z",77
"2022-05-24T10:35:00Z",8
"2022-05-24T10:36:00Z",6
"2022-05-24T10:37:00Z",4
"2022-05-24T10:38:00Z",4
"2022-05-24T10:39:00Z",74
"2022-05-24T10:40:00Z",39
"2022-05-24T10:41:00Z",74
"2022-05-24T10:42:00Z",40
"2022-05-24T10:43:00Z",76
"2022-05-24T10:44:00Z",78
"2022-05-24T10:45:00Z",78.5
"2022-05-24T10:46:00Z",78
"2022-05-24T10:47:00Z",77.5
"2022-05-24T10:48:00Z",77
"2022-05-24T10:49:00Z",78
"2022-05-24T10:50:00Z",76
"2022-05-24T10:51:00Z",78
"2022-05-24T10:52:00Z",76.5
"2022-05-24T10:53:00Z",78
"2022-05-24T10:54:00Z",8
"2022-05-24T10:55:00Z",8
