"datetime","groupDesiredCapacity"
"2022-05-22T03:12:00Z",1
"2022-05-22T03:13:00Z",1
"2022-05-22T03:14:00Z",1
"2022-05-22T03:15:00Z",1
"2022-05-22T03:16:00Z",3
"2022-05-22T03:17:00Z",3
"2022-05-22T03:18:00Z",3
"2022-05-22T03:19:00Z",3
"2022-05-22T03:20:00Z",3
"2022-05-22T03:21:00Z",3
"2022-05-22T03:22:00Z",3
"2022-05-22T03:23:00Z",3
"2022-05-22T03:24:00Z",3
"2022-05-22T03:25:00Z",3
"2022-05-22T03:26:00Z",3
"2022-05-22T03:27:00Z",3
"2022-05-22T03:28:00Z",3
"2022-05-22T03:29:00Z",3
"2022-05-22T03:30:00Z",3
"2022-05-22T03:31:00Z",3
"2022-05-22T03:32:00Z",3
"2022-05-22T03:33:00Z",3
"2022-05-22T03:34:00Z",3
"2022-05-22T03:35:00Z",3
"2022-05-22T03:36:00Z",3
"2022-05-22T03:37:00Z",3
"2022-05-22T03:38:00Z",3
"2022-05-22T03:39:00Z",3
"2022-05-22T03:40:00Z",3
"2022-05-22T03:41:00Z",3
"2022-05-22T03:42:00Z",3
"2022-05-22T03:43:00Z",3
"2022-05-22T03:44:00Z",3
"2022-05-22T03:45:00Z",3
"2022-05-22T03:46:00Z",3
"2022-05-22T03:47:00Z",3
"2022-05-22T03:48:00Z",3
"2022-05-22T03:49:00Z",3
"2022-05-22T03:50:00Z",3
"2022-05-22T03:51:00Z",3
"2022-05-22T03:52:00Z",3
"2022-05-22T03:53:00Z",3
"2022-05-22T03:54:00Z",3
"2022-05-22T03:55:00Z",3
"2022-05-22T03:56:00Z",3
"2022-05-22T03:57:00Z",3
"2022-05-22T03:58:00Z",3
"2022-05-22T03:59:00Z",3
"2022-05-22T04:00:00Z",3
"2022-05-22T04:01:00Z",3
"2022-05-22T04:02:00Z",3
"2022-05-22T04:03:00Z",3
"2022-05-22T04:04:00Z",3
"2022-05-22T04:05:00Z",3
"2022-05-22T04:06:00Z",3
"2022-05-22T04:07:00Z",3
"2022-05-22T04:08:00Z",3
"2022-05-22T04:09:00Z",3
"2022-05-22T04:10:00Z",3
"2022-05-22T04:11:00Z",1
"2022-05-22T04:12:00Z",1
"2022-05-22T04:13:00Z",1
"2022-05-22T04:14:00Z",1
"2022-05-22T04:15:00Z",2
"2022-05-22T04:16:00Z",2
"2022-05-22T04:17:00Z",2
"2022-05-22T04:18:00Z",2
"2022-05-22T04:19:00Z",2
"2022-05-22T04:20:00Z",3
"2022-05-22T04:21:00Z",3
"2022-05-22T04:22:00Z",3
"2022-05-22T04:23:00Z",3
"2022-05-22T04:24:00Z",3
"2022-05-22T04:25:00Z",3
"2022-05-22T04:26:00Z",3
"2022-05-22T04:27:00Z",3
"2022-05-22T04:28:00Z",3
"2022-05-22T04:29:00Z",3
"2022-05-22T04:30:00Z",1
"2022-05-22T04:31:00Z",1
"2022-05-22T04:32:00Z",1
"2022-05-22T04:33:00Z",1
"2022-05-22T04:34:00Z",2
"2022-05-22T04:35:00Z",2
"2022-05-22T04:36:00Z",2
"2022-05-22T04:37:00Z",3
"2022-05-22T04:38:00Z",3
"2022-05-22T04:39:00Z",3
"2022-05-22T04:40:00Z",3
"2022-05-22T04:41:00Z",3
"2022-05-22T04:42:00Z",3
"2022-05-22T04:43:00Z",3
"2022-05-22T04:44:00Z",3
"2022-05-22T04:45:00Z",3
"2022-05-22T04:46:00Z",3
"2022-05-22T04:47:00Z",3
"2022-05-22T04:48:00Z",3
"2022-05-22T04:49:00Z",1
"2022-05-22T04:50:00Z",1
"2022-05-22T04:51:00Z",1
"2022-05-22T04:52:00Z",1
"2022-05-22T04:53:00Z",2
"2022-05-22T04:54:00Z",2
"2022-05-22T04:55:00Z",2
"2022-05-22T04:56:00Z",3
"2022-05-22T04:57:00Z",3
"2022-05-22T04:58:00Z",3
"2022-05-22T04:59:00Z",3
"2022-05-22T05:00:00Z",3
"2022-05-22T05:01:00Z",3
"2022-05-22T05:02:00Z",3
"2022-05-22T05:03:00Z",3
"2022-05-22T05:04:00Z",3
"2022-05-22T05:05:00Z",3
"2022-05-22T05:06:00Z",3
"2022-05-22T05:07:00Z",3
"2022-05-22T05:08:00Z",3
"2022-05-22T05:09:00Z",3
"2022-05-22T05:10:00Z",3
