"datetime","groupInServiceCapacity"
"2022-04-21T03:20:00Z",1
"2022-04-21T03:21:00Z",1
"2022-04-21T03:22:00Z",1
"2022-04-21T03:23:00Z",1
"2022-04-21T03:24:00Z",1
"2022-04-21T03:25:00Z",3
"2022-04-21T03:26:00Z",3
"2022-04-21T03:27:00Z",3
"2022-04-21T03:28:00Z",3
"2022-04-21T03:29:00Z",3
"2022-04-21T03:30:00Z",3
"2022-04-21T03:31:00Z",3
"2022-04-21T03:32:00Z",3
"2022-04-21T03:33:00Z",3
"2022-04-21T03:34:00Z",3
"2022-04-21T03:35:00Z",3
"2022-04-21T03:36:00Z",3
"2022-04-21T03:37:00Z",3
"2022-04-21T03:38:00Z",3
"2022-04-21T03:39:00Z",3
"2022-04-21T03:40:00Z",3
"2022-04-21T03:41:00Z",3
"2022-04-21T03:42:00Z",3
"2022-04-21T03:43:00Z",3
"2022-04-21T03:44:00Z",3
"2022-04-21T03:45:00Z",3
"2022-04-21T03:46:00Z",3
"2022-04-21T03:47:00Z",3
"2022-04-21T03:48:00Z",3
"2022-04-21T03:49:00Z",3
"2022-04-21T03:50:00Z",3
"2022-04-21T03:51:00Z",3
"2022-04-21T03:52:00Z",3
"2022-04-21T03:53:00Z",3
"2022-04-21T03:54:00Z",3
"2022-04-21T03:55:00Z",3
"2022-04-21T03:56:00Z",3
"2022-04-21T03:57:00Z",3
"2022-04-21T03:58:00Z",3
"2022-04-21T03:59:00Z",3
"2022-04-21T04:00:00Z",3
"2022-04-21T04:01:00Z",3
"2022-04-21T04:02:00Z",3
"2022-04-21T04:03:00Z",3
"2022-04-21T04:04:00Z",3
"2022-04-21T04:05:00Z",3
"2022-04-21T04:06:00Z",3
"2022-04-21T04:07:00Z",3
"2022-04-21T04:08:00Z",3
"2022-04-21T04:09:00Z",3
"2022-04-21T04:10:00Z",3
"2022-04-21T04:11:00Z",3
"2022-04-21T04:12:00Z",3
"2022-04-21T04:13:00Z",3
"2022-04-21T04:14:00Z",3
"2022-04-21T04:15:00Z",3
"2022-04-21T04:16:00Z",3
"2022-04-21T04:17:00Z",0
"2022-04-21T04:18:00Z",1
"2022-04-21T04:19:00Z",1
"2022-04-21T04:20:00Z",1
"2022-04-21T04:21:00Z",1
"2022-04-21T04:22:00Z",1
"2022-04-21T04:23:00Z",1
"2022-04-21T04:24:00Z",1
"2022-04-21T04:25:00Z",3
"2022-04-21T04:26:00Z",3
"2022-04-21T04:27:00Z",3
"2022-04-21T04:28:00Z",3
"2022-04-21T04:29:00Z",3
"2022-04-21T04:30:00Z",3
"2022-04-21T04:31:00Z",3
"2022-04-21T04:32:00Z",3
"2022-04-21T04:33:00Z",3
"2022-04-21T04:34:00Z",3
"2022-04-21T04:35:00Z",1
"2022-04-21T04:36:00Z",1
"2022-04-21T04:37:00Z",1
"2022-04-21T04:38:00Z",1
"2022-04-21T04:39:00Z",1
"2022-04-21T04:40:00Z",1
"2022-04-21T04:41:00Z",1
"2022-04-21T04:42:00Z",3
"2022-04-21T04:43:00Z",3
"2022-04-21T04:44:00Z",3
"2022-04-21T04:45:00Z",3
"2022-04-21T04:46:00Z",3
"2022-04-21T04:47:00Z",3
"2022-04-21T04:48:00Z",3
"2022-04-21T04:49:00Z",3
"2022-04-21T04:50:00Z",3
"2022-04-21T04:51:00Z",3
"2022-04-21T04:52:00Z",1
"2022-04-21T04:53:00Z",1
"2022-04-21T04:54:00Z",1
"2022-04-21T04:55:00Z",1
"2022-04-21T04:56:00Z",1
"2022-04-21T04:57:00Z",1
"2022-04-21T04:58:00Z",1
"2022-04-21T04:59:00Z",1
"2022-04-21T05:00:00Z",3
"2022-04-21T05:01:00Z",3
"2022-04-21T05:02:00Z",3
"2022-04-21T05:03:00Z",3
"2022-04-21T05:04:00Z",3
"2022-04-21T05:05:00Z",3
"2022-04-21T05:06:00Z",3
"2022-04-21T05:07:00Z",3
"2022-04-21T05:08:00Z",3
"2022-04-21T05:09:00Z",3
"2022-04-21T05:10:00Z",3
"2022-04-21T05:11:00Z",3
"2022-04-21T05:12:00Z",3
