"datetime","estimatedALBActiveConnectionCount"
"2022-05-28T01:05:00Z",4
"2022-05-28T01:06:00Z",4
"2022-05-28T01:07:00Z",4
"2022-05-28T01:08:00Z",4
"2022-05-28T01:09:00Z",8
"2022-05-28T01:10:00Z",23.5
"2022-05-28T01:11:00Z",8.5
"2022-05-28T01:12:00Z",24.5
"2022-05-28T01:13:00Z",24.5
"2022-05-28T01:14:00Z",8.5
"2022-05-28T01:15:00Z",25.5
"2022-05-28T01:16:00Z",8.5
"2022-05-28T01:17:00Z",26.5
"2022-05-28T01:18:00Z",26.5
"2022-05-28T01:19:00Z",8.5
"2022-05-28T01:20:00Z",28
"2022-05-28T01:21:00Z",9.5
"2022-05-28T01:22:00Z",29.5
"2022-05-28T01:23:00Z",29.5
"2022-05-28T01:24:00Z",9.5
"2022-05-28T01:25:00Z",30.5
"2022-05-28T01:26:00Z",9.5
"2022-05-28T01:27:00Z",31.5
"2022-05-28T01:28:00Z",31.5
"2022-05-28T01:29:00Z",9.5
"2022-05-28T01:30:00Z",32.5
"2022-05-28T01:31:00Z",9.5
"2022-05-28T01:32:00Z",33.5
"2022-05-28T01:33:00Z",33.5
"2022-05-28T01:34:00Z",9.5
"2022-05-28T01:35:00Z",33.5
"2022-05-28T01:36:00Z",8.5
"2022-05-28T01:37:00Z",8.5
"2022-05-28T01:38:00Z",33.5
"2022-05-28T01:39:00Z",33.5
"2022-05-28T01:40:00Z",20.5
"2022-05-28T01:41:00Z",33.5
"2022-05-28T01:42:00Z",34.5
"2022-05-28T01:43:00Z",21
"2022-05-28T01:44:00Z",22
"2022-05-28T01:45:00Z",34
"2022-05-28T01:46:00Z",34
"2022-05-28T01:47:00Z",34
"2022-05-28T01:48:00Z",34
"2022-05-28T01:49:00Z",21
"2022-05-28T01:50:00Z",21
"2022-05-28T01:51:00Z",34
"2022-05-28T01:52:00Z",34
"2022-05-28T01:53:00Z",34.5
"2022-05-28T01:54:00Z",35
"2022-05-28T01:55:00Z",22.5
"2022-05-28T01:56:00Z",9.5
"2022-05-28T01:57:00Z",34
"2022-05-28T01:58:00Z",34
"2022-05-28T01:59:00Z",34
"2022-05-28T02:00:00Z",34
"2022-05-28T02:01:00Z",34
"2022-05-28T02:02:00Z",7
"2022-05-28T02:03:00Z",4.5
"2022-05-28T02:04:00Z",4.5
"2022-05-28T02:05:00Z",29.5
"2022-05-28T02:06:00Z",29.5
"2022-05-28T02:07:00Z",29.5
"2022-05-28T02:08:00Z",29.5
"2022-05-28T02:09:00Z",29
"2022-05-28T02:10:00Z",29
"2022-05-28T02:11:00Z",45
"2022-05-28T02:12:00Z",45
"2022-05-28T02:13:00Z",33.5
"2022-05-28T02:14:00Z",33.5
"2022-05-28T02:15:00Z",33
"2022-05-28T02:16:00Z",32.5
"2022-05-28T02:17:00Z",33.5
"2022-05-28T02:18:00Z",35
"2022-05-28T02:19:00Z",21
"2022-05-28T02:20:00Z",7.5
"2022-05-28T02:21:00Z",4.5
"2022-05-28T02:22:00Z",4.5
"2022-05-28T02:23:00Z",29.5
"2022-05-28T02:24:00Z",29.5
"2022-05-28T02:25:00Z",30
"2022-05-28T02:26:00Z",30
"2022-05-28T02:27:00Z",30
"2022-05-28T02:28:00Z",53.5
"2022-05-28T02:29:00Z",45
"2022-05-28T02:30:00Z",34
"2022-05-28T02:31:00Z",33.5
"2022-05-28T02:32:00Z",33.5
"2022-05-28T02:33:00Z",33.5
"2022-05-28T02:34:00Z",34
"2022-05-28T02:35:00Z",34
"2022-05-28T02:36:00Z",34
"2022-05-28T02:37:00Z",7.5
"2022-05-28T02:38:00Z",4.5
"2022-05-28T02:39:00Z",4.5
"2022-05-28T02:40:00Z",29.5
"2022-05-28T02:41:00Z",29.5
"2022-05-28T02:42:00Z",29.5
"2022-05-28T02:43:00Z",29.5
"2022-05-28T02:44:00Z",29.5
"2022-05-28T02:45:00Z",47
"2022-05-28T02:46:00Z",46.5
"2022-05-28T02:47:00Z",33.5
"2022-05-28T02:48:00Z",33.5
"2022-05-28T02:49:00Z",33.5
"2022-05-28T02:50:00Z",33.5
"2022-05-28T02:51:00Z",34
"2022-05-28T02:52:00Z",34
"2022-05-28T02:53:00Z",34
"2022-05-28T02:54:00Z",9
"2022-05-28T02:55:00Z",9.5
