"datetime","groupDesiredCapacity"
"2022-04-23T00:19:00Z",1
"2022-04-23T00:20:00Z",1
"2022-04-23T00:21:00Z",1
"2022-04-23T00:22:00Z",1
"2022-04-23T00:23:00Z",3
"2022-04-23T00:24:00Z",3
"2022-04-23T00:25:00Z",3
"2022-04-23T00:26:00Z",3
"2022-04-23T00:27:00Z",3
"2022-04-23T00:28:00Z",3
"2022-04-23T00:29:00Z",3
"2022-04-23T00:30:00Z",3
"2022-04-23T00:31:00Z",3
"2022-04-23T00:32:00Z",3
"2022-04-23T00:33:00Z",3
"2022-04-23T00:34:00Z",3
"2022-04-23T00:35:00Z",3
"2022-04-23T00:36:00Z",3
"2022-04-23T00:37:00Z",3
"2022-04-23T00:38:00Z",3
"2022-04-23T00:39:00Z",3
"2022-04-23T00:40:00Z",3
"2022-04-23T00:41:00Z",3
"2022-04-23T00:42:00Z",3
"2022-04-23T00:43:00Z",3
"2022-04-23T00:44:00Z",3
"2022-04-23T00:45:00Z",3
"2022-04-23T00:46:00Z",3
"2022-04-23T00:47:00Z",3
"2022-04-23T00:48:00Z",3
"2022-04-23T00:49:00Z",3
"2022-04-23T00:50:00Z",3
"2022-04-23T00:51:00Z",3
"2022-04-23T00:52:00Z",3
"2022-04-23T00:53:00Z",3
"2022-04-23T00:54:00Z",3
"2022-04-23T00:55:00Z",3
"2022-04-23T00:56:00Z",3
"2022-04-23T00:57:00Z",3
"2022-04-23T00:58:00Z",3
"2022-04-23T00:59:00Z",3
"2022-04-23T01:00:00Z",3
"2022-04-23T01:01:00Z",3
"2022-04-23T01:02:00Z",3
"2022-04-23T01:03:00Z",3
"2022-04-23T01:04:00Z",3
"2022-04-23T01:05:00Z",1
"2022-04-23T01:06:00Z",1
"2022-04-23T01:07:00Z",1
"2022-04-23T01:08:00Z",1
"2022-04-23T01:09:00Z",1
"2022-04-23T01:10:00Z",2
"2022-04-23T01:11:00Z",2
"2022-04-23T01:12:00Z",2
"2022-04-23T01:13:00Z",3
"2022-04-23T01:14:00Z",3
"2022-04-23T01:15:00Z",3
"2022-04-23T01:16:00Z",3
"2022-04-23T01:17:00Z",3
"2022-04-23T01:18:00Z",3
"2022-04-23T01:19:00Z",3
"2022-04-23T01:20:00Z",3
"2022-04-23T01:21:00Z",3
"2022-04-23T01:22:00Z",3
"2022-04-23T01:23:00Z",3
"2022-04-23T01:24:00Z",1
"2022-04-23T01:25:00Z",1
"2022-04-23T01:26:00Z",1
"2022-04-23T01:27:00Z",2
"2022-04-23T01:28:00Z",2
"2022-04-23T01:29:00Z",2
"2022-04-23T01:30:00Z",3
"2022-04-23T01:31:00Z",3
"2022-04-23T01:32:00Z",3
"2022-04-23T01:33:00Z",3
"2022-04-23T01:34:00Z",3
"2022-04-23T01:35:00Z",3
"2022-04-23T01:36:00Z",3
"2022-04-23T01:37:00Z",3
"2022-04-23T01:38:00Z",3
"2022-04-23T01:39:00Z",3
"2022-04-23T01:40:00Z",3
"2022-04-23T01:41:00Z",3
"2022-04-23T01:42:00Z",3
"2022-04-23T01:43:00Z",1
"2022-04-23T01:44:00Z",1
"2022-04-23T01:46:00Z",1
"2022-04-23T01:47:00Z",1
"2022-04-23T01:48:00Z",1
"2022-04-23T01:49:00Z",2
"2022-04-23T01:50:00Z",2
"2022-04-23T01:51:00Z",2
"2022-04-23T01:52:00Z",3
"2022-04-23T01:53:00Z",3
"2022-04-23T01:54:00Z",3
"2022-04-23T01:55:00Z",3
"2022-04-23T01:56:00Z",3
"2022-04-23T01:57:00Z",3
"2022-04-23T01:58:00Z",3
"2022-04-23T01:59:00Z",3
"2022-04-23T02:00:00Z",3
"2022-04-23T02:01:00Z",3
"2022-04-23T02:02:00Z",3
"2022-04-23T02:03:00Z",3
"2022-04-23T02:04:00Z",3
